time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.36,0.118821,-0.22667,-0.405078,-0.071857,0.425361,0.338356,0.287748,0.029364,-0.022759,0.093788,0.198037,0.466561,0.13265,-0.518005,0.107266,-0.080513,-0.411692,0.047136,0.396974,0.342403,0.352081,0.02436,-0.01897,0.100818,0.094016,0.497238,-0.040095,-0.475582,0.115758
0.38,0.119607,-0.224804,-0.409576,-0.071308,0.428576,0.339029,0.292107,0.025719,-0.021849,0.095841,0.197777,0.462603,0.14045,-0.529164,0.107276,-0.080496,-0.411837,0.047166,0.396836,0.342305,0.352081,0.024407,-0.01897,0.100815,0.09419,0.497301,-0.041006,-0.473981,0.115748
0.4,0.121008,-0.227937,-0.409434,-0.072919,0.428406,0.341885,0.288462,0.025441,-0.022775,0.096557,0.197898,0.465463,0.142446,-0.516011,0.10729,-0.080509,-0.411832,0.047005,0.396892,0.342328,0.352072,0.024412,-0.01897,0.100817,0.094068,0.497272,-0.041168,-0.474467,0.115776
0.42,0.119736,-0.22885,-0.408983,-0.073836,0.430316,0.339431,0.289001,0.02639,-0.022998,0.096611,0.199108,0.467385,0.137225,-0.517692,0.10731,-0.08052,-0.411764,0.046968,0.396918,0.342413,0.352054,0.024416,-0.01897,0.10084,0.093891,0.497249,-0.040871,-0.475253,0.115791
0.44,0.118713,-0.226815,-0.405152,-0.071785,0.425398,0.338293,0.288003,0.029426,-0.022764,0.093652,0.198203,0.466311,0.132733,-0.518345,0.107335,-0.080424,-0.41171,0.047091,0.396909,0.342433,0.352038,0.024434,-0.018965,0.100859,0.094103,0.497267,-0.040107,-0.475633,0.115758
0.46,0.119587,-0.22499,-0.409682,-0.071243,0.428452,0.339088,0.292218,0.025772,-0.021886,0.09576,0.197852,0.462498,0.14049,-0.529117,0.107343,-0.080403,-0.411833,0.047124,0.396787,0.342332,0.35204,0.024481,-0.018965,0.100855,0.094277,0.497329,-0.040995,-0.474025,0.115749
0.48,0.120959,-0.228085,-0.409468,-0.072903,0.428474,0.341832,0.288608,0.025507,-0.022816,0.09651,0.197931,0.465369,0.142415,-0.516164,0.107357,-0.080418,-0.411826,0.04696,0.396846,0.342354,0.352032,0.024486,-0.018966,0.100857,0.094154,0.497299,-0.041154,-0.474502,0.115776
0.5,0.1195,-0.229062,-0.409316,-0.074104,0.429888,0.339628,0.288852,0.02621,-0.022868,0.096703,0.198993,0.467896,0.136601,-0.51672,0.107376,-0.080431,-0.411772,0.046931,0.396851,0.34242,0.352016,0.024489,-0.018966,0.10088,0.093973,0.497273,-0.040879,-0.475305,0.115789
0.52,0.118623,-0.227287,-0.406614,-0.072125,0.427456,0.338247,0.289918,0.028055,-0.02305,0.094616,0.19854,0.465555,0.133875,-0.522535,0.107391,-0.080421,-0.411705,0.047007,0.396851,0.342465,0.352004,0.024506,-0.018963,0.100904,0.09398,0.497359,-0.040423,-0.475112,0.115775
0.54,0.119584,-0.227491,-0.409997,-0.072062,0.427774,0.33987,0.290522,0.025854,-0.023003,0.095639,0.199609,0.46428,0.14017,-0.522314,0.107401,-0.080424,-0.411666,0.047066,0.396806,0.342471,0.352001,0.024527,-0.018963,0.100911,0.093943,0.497409,-0.040604,-0.47448,0.115777
